Name,Title2,ProDetail,KnowledgeType,Topic,Summary,Priority,Category,CATE_CODE,Audio,CN,EN,Author,Source
《大国崛起》美国,,ThroughReading,,American History,0,0,History,HTY,,P,NA,,
边走边读,,ThroughReading,,American History,0,0,History,HTY,,P,NA,,
历史深处的忧虑1,,ThroughReading,,American History,0,0,History,HTY,,P,NA,,
总统是靠不住的2,,ThroughReading,,American History,0,0,History,HTY,,P,NA,,
我也有一个梦想3,,ThroughReading,,American History,0,0,History,HTY,,P,NA,,
如彗星划过夜空4,,ThroughReading,,American History,0,0,History,HTY,,P,NA,,
美国无法忘却的罪恶 —— 美利坚风雨二百年,,ThroughReading,,American History,0,0,History,HTY,,P,NO,,
Cosmeceuticals and Cosmetic Ingredients,,HaveNotRead,Hard-knowledge,Beauty and Fashion,0,1,Beauty&Health,BTH,,P,NA,"Baumann, Leslie",Self-Search
"A Consumer's Dictionary of Cosmetic Ingredients, 7th Edition",,HaveNotRead,Hard-knowledge,Beauty and Fashion,0,1,Beauty&Health,BTH,,P,NA,"Winter, Ruth",Self-Search
Skin Aging,,PartialReading,Hard-knowledge,Beauty and Fashion,0,1,Beauty&Health,BTH,,P,NA,"Gilchrest, Barbara A.",Self-Search
花袭人(食花·花疗宝典) ,,ReferenceBook,,Beauty and Fashion,0,0,Beauty&Health,BTH,,P,NA,,
维生素矿物质养生事典 ,,ReferenceBook,,Beauty and Fashion,0,0,Beauty&Health,BTH,,P,NA,,
激活——给你能量的果蔬汁,,ReferenceBook,,Beauty and Fashion,0,0,Beauty&Health,BTH,,P,NA,,
牛尔的爱美书 ,天然面膜DIY(美容教主《美丽俏佳人》美丽教练牛尔天然护肤秘笈全公开),ReferenceBook,,Beauty and Fashion,0,0,Beauty&Health,BTH,,P,NA,,
香草美人物语,,ReferenceBook,,Beauty and Fashion,0,0,Beauty&Health,BTH,,P,NA,Kim Morrison & Fleur Welligan ,
香水情氛----调出来的神秘,,ReferenceBook,,Beauty and Fashion,0,0,Beauty&Health,BTH,,P,NA,,
中西形象设计史,职业形象设计师通用培训教程,ReferenceBook,,Beauty and Fashion,0,0,Art,ART,,P,NA,,
服饰配色设计原理与实例精解,服装综合设计原 理与实例精解丛书 ,ReferenceBook,,Beauty and Fashion,0,0,Art,ART,,P,NA,,
CEO西服学,,PartialReading,,Beauty and Fashion,0,0,Art,ART,,P,P,,
我的风格小黑皮书,,ThroughReading,Fastfood-knowledge,Beauty and Fashion,0,0,Art,ART,,p,NA,,
The Third Chimpanzee,,RoughReading,Hard-knowledge,Big history,0,1,History,HTY,Audio,P,NO,Jared Diamond,DeDao
Collapse,,RoughReading,Hard-knowledge,Big history,0,1,History,HTY,Audio,P,NO,Jared Diamond,DeDao
This Fleeting World (极简人类史),,RoughReading,Hard-knowledge,Big history,0,1,History,HTY,Audio,NA,P,David Christian ,DuShuLang
"Guns, Germs and Steels",,ThroughReading,Hard-knowledge,Big history,0,1,History,HTY,Audio,P,NO,Jared Diamond,DeDao
Sapiens: A Brief History of Humankind(人类简史),,ThroughReading,Hard-knowledge,Big history,0,1,History,HTY,Audio,P,NO,Yuval Noah Harari,
出版人,,HaveNotRead,,Biography,0,1,Biography,BIO,Audio,P,NA,,
约翰·亚当斯 ,,HaveNotRead,Fact-knowledge-Biography,Biography,0,0,Biography,BGY,,NA,P,,
桥－奥巴马传记,,HaveNotRead,Fact-knowledge-Biography,Biography,0,0,Biography,BGY,,P,NO,,
华盛顿传,,HaveNotRead,Fact-knowledge-Biography,Biography,0,0,Biography,BGY,,P,NA,,
